ISO,NATION,POPULATION,GDP PER CAPITA ($),PUBLIC DEBT TO GDP (%),POPULATION BELOW POVERTY LEVEL (%),INTERNET USERS (%),AGE 55 TO 64 (%),AGE 65+ (%),AGE ELDERLY (%),HEALTHCARE COVERAGE (%)
660,Anguilla,15000,12200,20.1,23,81.57,12.42,9.78,22.2,
28,Antigua and Barbuda,98000,14748,112.66,,76,10.74,8.91,19.65,
32,Argentina,45196000,9095,96.69,27.2,74.29,9.07,12.13,21.2,72
533,Aruba,107000,22709,120.29,,97.17,14.79,15.05,29.84,
44,Bahamas,393000,31531,81.95,9.3,85,10.75,9.08,19.83,
52,Barbados,287000,17472,124.52,,81.76,13.91,13.57,27.48,
84,Belize,398000,3968,132.26,41,47.08,6.18,4.53,10.71,
60,Bermuda,72000,81798,43,11,98.37,16.37,19.74,36.11,
68,Bolivia,11673000,3618,68.31,31.1,43.83,6.06,5.71,11.77,35
535,"Bonaire, Sint Eustatius and Saba",,,,,,,,,
76,Brazil,212559000,6728,102.76,19.2,67.47,9.78,9.21,18.99,
92,British Virgin Islands,30000,34200,,,77.7,12.83,10.63,23.46,
124,Canada,38132000,45871,114.648,8.7,91,14.08,18.98,33.06,
136,Cayman Islands,66000,71549,,,81.07,14.78,14.24,29.02,
152,Chile,19116000,14208,37.51,10.7,82.33,11.98,11.81,23.79,82.3
170,Colombia,50883000,5457,68.06,31.7,62.26,9.93,8.39,18.32,92.5
188,Costa Rica,5094000,11805,74.76,16.5,74.09,9.99,8.76,18.75,74.6
192,Cuba,11327000,9136,47.7,,57.15,14.11,15.8,29.91,
531,Curaçao,152000,24479,33.2,,68.13,13.88,16.52,30.4,
212,Dominica,72000,8111,88.98,,69.62,10.53,12.12,22.65,
214,Dominican Republic,10848000,7740,68.2,20.3,74.82,8.17,6.29,14.46,77.9
218,Ecuador,17643000,5589,67.43,25.7,57.27,7.92,8.15,16.07,39.8
222,El Salvador,6486000,4023,92.53,30.4,33.82,7.23,7.6,14.83,34.6
238,Falkland Islands (Malvinas),3100,"70,800",,,98.3,,,,
254,French Guiana,,,,,,,,,
308,Grenada,113000,10211,73.49,,59.07,11.69,10.89,22.58,
312,Guadeloupe,,,,,,,,,
320,Guatemala,17916000,4385,33.89,50.5,65,5.41,4.7,10.11,18.4
328,Guyana,787000,9913,34.84,35,37.33,8.37,7.01,15.38,
332,Haiti,11403000,698,52.44,58.5,32.47,5.3,4.33,9.63,
340,Honduras,9905000,2593,50.41,52.3,31.7,5.58,5.4,10.98,17.5
388,Jamaica,2961000,5643,92.43,19.9,55.07,9.63,9.17,18.8,
474,Martinique,375000,,,,,,,,
484,Mexico,128933000,8402,65.59,41.5,65.77,8.29,7.67,15.96,46.8
500,Montserrat,5000,34000,,,54.6,9.79,6.55,16.34,
558,Nicaragua,6625000,1828,50.26,46.3,27.86,6.63,5.82,12.45,23
591,Panama,4315000,14390,60.14,14.6,57.87,8.54,9.01,17.55,
600,Paraguay,7133000,5207,35.7,19.4,64.99,8.37,7.88,16.25,31.8
604,Peru,32972000,6229,39.13,15.4,52.54,8.28,8.05,16.33,74.6
630,Puerto Rico,3193000,32874,90,43.5,70.6,13.5,21.77,35.27,
652,Saint Barthélemy,7000,,,,,16.29,19.35,35.64,
659,Saint Kitts and Nevis,53000,16491,63.94,,80.71,13.03,10,23.03,
662,Saint Lucia,184000,10636,87.7,25,50.82,11.23,13.1,24.33,
663,Saint Martin (French part),33000,19300,,,3.5,8.71,9.17,17.88,
670,Saint Vincent and the Grenadines,111000,7401,89.69,,22.39,11.68,10.72,22.4,
534,Sint Maarten (Dutch part),43000,35342,,,,17.47,11.55,29.02,
740,Suriname,587000,4921,107.704,70,48.95,8.78,6.55,15.33,
780,Trinidad and Tobago,1399000,16622,64.28,20,77.33,13.83,12.11,25.94,
796,Turks and Caicos Islands,57000,29253,,,,7.81,5.17,12.98,
840,United States of America,330145000,66144,131.18,10.5,87.27,12.86,16.85,29.71,
850,United States Virgin Islands,104000,37000,53.3,28.9,64.38,14.24,19.82,34.06,
858,Uruguay,3474000,16297,69.03,3,68.28,10.79,14.71,25.5,98.8
862,Venezuela,28436000,1586,38.9,28.3,72,8.76,8.18,16.94,
